# Hyperparameter Testing for Instance: pr07
# Format: config_string, best_distance, convergence_generation, execution_time, num_routes, num_used_depots
#
pop=50_elite=0.3_mutant=0.4_gen=200_bias=0.9, 2442.95, 73, 48.541, 6, 6
pop=50_elite=0.3_mutant=0.4_gen=250_bias=0.7, 3030.54, 21, 14.212, 6, 6
pop=50_elite=0.3_mutant=0.4_gen=250_bias=0.8, 2652.14, 11, 17.471, 6, 6
pop=50_elite=0.3_mutant=0.4_gen=250_bias=0.9, 2556.56, 35, 24.842, 6, 6
pop=50_elite=0.3_mutant=0.5_gen=50_bias=0.7, 3266.07, 17, 10.767, 6, 6
pop=50_elite=0.3_mutant=0.5_gen=50_bias=0.8, 3091.84, 28, 12.737, 6, 6
pop=50_elite=0.3_mutant=0.5_gen=50_bias=0.9, 2731.79, 11, 16.306, 6, 6
pop=50_elite=0.3_mutant=0.5_gen=100_bias=0.7, 3170.19, 14, 9.932, 6, 6
pop=50_elite=0.3_mutant=0.5_gen=100_bias=0.8, 3090.79, 8, 8.898, 6, 6
pop=50_elite=0.3_mutant=0.5_gen=100_bias=0.9, 3033.63, 15, 10.861, 6, 6
pop=50_elite=0.3_mutant=0.5_gen=150_bias=0.7, 3018.36, 2, 7.109, 6, 6
pop=50_elite=0.3_mutant=0.5_gen=150_bias=0.8, 3112.33, 15, 9.911, 6, 6
pop=50_elite=0.3_mutant=0.5_gen=150_bias=0.9, 2599.03, 31, 25.355, 6, 6
pop=50_elite=0.3_mutant=0.5_gen=200_bias=0.7, 3042.89, 7, 9.516, 6, 6
pop=50_elite=0.3_mutant=0.5_gen=200_bias=0.8, 3067.75, 10, 8.623, 6, 6
pop=50_elite=0.3_mutant=0.5_gen=200_bias=0.9, 2851.09, 12, 17.938, 6, 6
pop=50_elite=0.3_mutant=0.5_gen=250_bias=0.7, 2973.23, 14, 12.823, 6, 6
pop=50_elite=0.3_mutant=0.5_gen=250_bias=0.8, 3115.66, 20, 13.919, 6, 6
pop=50_elite=0.3_mutant=0.5_gen=250_bias=0.9, 2988.89, 32, 14.185, 6, 6
pop=50_elite=0.4_mutant=0.1_gen=50_bias=0.7, 2781.27, 1, 14.727, 6, 6
pop=50_elite=0.4_mutant=0.1_gen=50_bias=0.8, 3105.08, 46, 16.908, 6, 6
pop=50_elite=0.4_mutant=0.1_gen=50_bias=0.9, 2487.84, 40, 32.384, 6, 6
pop=50_elite=0.4_mutant=0.1_gen=100_bias=0.7, 2670.9, 56, 25.315, 6, 6
pop=50_elite=0.4_mutant=0.1_gen=100_bias=0.8, 3116.76, 97, 35.158, 6, 6
pop=50_elite=0.4_mutant=0.1_gen=100_bias=0.9, 2377.35, 51, 51.41, 6, 6
pop=50_elite=0.4_mutant=0.1_gen=150_bias=0.7, 2847.5, 1, 13.981, 6, 6
pop=50_elite=0.4_mutant=0.1_gen=150_bias=0.8, 2615.58, 9, 37.085, 7, 6
pop=50_elite=0.4_mutant=0.1_gen=150_bias=0.9, 2710.27, 61, 36.978, 6, 6
pop=50_elite=0.4_mutant=0.1_gen=200_bias=0.7, 2082.12, 80, 81.345, 6, 6
