# Hyperparameter Testing for Instance: p01
# Format: config_string, best_distance, convergence_generation, execution_time, num_routes, num_used_depots
#
pop=50_elite=0.3_mutant=0.1_gen=150_bias=0.8, 1306.25, 44, 3.642, 11, 4
pop=50_elite=0.3_mutant=0.1_gen=150_bias=0.9, 1142.38, 9, 3.128, 11, 4
pop=50_elite=0.3_mutant=0.1_gen=200_bias=0.7, 1171.54, 63, 6.905, 11, 4
pop=50_elite=0.3_mutant=0.1_gen=200_bias=0.8, 1108.05, 13, 3.129, 11, 4
pop=50_elite=0.3_mutant=0.1_gen=200_bias=0.9, 1184.98, 15, 4.005, 11, 4
pop=50_elite=0.3_mutant=0.1_gen=250_bias=0.7, 1347.3, 60, 4.873, 11, 4
pop=50_elite=0.3_mutant=0.1_gen=250_bias=0.8, 1212.01, 4, 2.287, 11, 4
pop=50_elite=0.3_mutant=0.1_gen=250_bias=0.9, 1158.97, 4, 3.704, 11, 4
pop=50_elite=0.3_mutant=0.2_gen=50_bias=0.7, 1243.99, 11, 3.403, 11, 4
pop=50_elite=0.3_mutant=0.2_gen=50_bias=0.8, 1211.54, 12, 3.344, 11, 4
pop=50_elite=0.3_mutant=0.2_gen=50_bias=0.9, 1205.59, 44, 4.996, 11, 4
pop=50_elite=0.3_mutant=0.2_gen=100_bias=0.7, 1336.64, 8, 1.969, 11, 4
pop=50_elite=0.3_mutant=0.2_gen=100_bias=0.8, 1103.95, 58, 6.961, 11, 4
pop=50_elite=0.3_mutant=0.2_gen=100_bias=0.9, 1105.89, 81, 7.125, 11, 4
pop=50_elite=0.3_mutant=0.2_gen=150_bias=0.7, 1312.53, 10, 1.932, 11, 4
pop=50_elite=0.3_mutant=0.2_gen=150_bias=0.8, 1145.58, 54, 6.297, 11, 4
pop=50_elite=0.3_mutant=0.2_gen=150_bias=0.9, 1278.05, 17, 3.936, 11, 4
pop=50_elite=0.3_mutant=0.2_gen=200_bias=0.7, 1307.03, 4, 1.29, 11, 4
pop=50_elite=0.3_mutant=0.2_gen=200_bias=0.8, 1255.65, 72, 5.208, 11, 4
pop=50_elite=0.3_mutant=0.2_gen=200_bias=0.9, 1155.16, 1, 3.347, 11, 4
pop=50_elite=0.3_mutant=0.2_gen=250_bias=0.7, 1295.47, 20, 2.885, 11, 4
pop=50_elite=0.3_mutant=0.2_gen=250_bias=0.8, 1038.77, 12, 5.879, 11, 4
pop=50_elite=0.3_mutant=0.2_gen=250_bias=0.9, 1264.53, 93, 6.449, 11, 4
pop=50_elite=0.3_mutant=0.3_gen=50_bias=0.7, 1351.6, 13, 2.01, 11, 4
pop=50_elite=0.3_mutant=0.3_gen=50_bias=0.8, 1234.79, 22, 3.946, 11, 4
pop=50_elite=0.3_mutant=0.3_gen=50_bias=0.9, 1214.8, 47, 5.071, 11, 4
pop=50_elite=0.3_mutant=0.3_gen=100_bias=0.7, 1364.61, 21, 2.311, 11, 4
pop=50_elite=0.3_mutant=0.3_gen=100_bias=0.8, 1057.29, 87, 8.697, 11, 4
pop=50_elite=0.3_mutant=0.3_gen=100_bias=0.9, 1128.39, 43, 5.562, 11, 4
pop=50_elite=0.3_mutant=0.3_gen=150_bias=0.7, 1306.93, 3, 2.372, 11, 4
pop=50_elite=0.3_mutant=0.3_gen=150_bias=0.8, 1078.53, 11, 4.546, 11, 4
pop=50_elite=0.3_mutant=0.3_gen=150_bias=0.9, 1290.01, 5, 1.911, 11, 4
pop=50_elite=0.3_mutant=0.3_gen=200_bias=0.7, 1327.32, 1, 1.097, 11, 4
pop=50_elite=0.3_mutant=0.3_gen=200_bias=0.8, 1260.36, 6, 2.216, 11, 4
pop=50_elite=0.3_mutant=0.3_gen=200_bias=0.9, 1223.09, 71, 6.282, 11, 4
pop=50_elite=0.3_mutant=0.3_gen=250_bias=0.7, 1334.53, 0, 1.842, 11, 4
pop=50_elite=0.3_mutant=0.3_gen=250_bias=0.8, 1351.8, 6, 1.414, 11, 4
pop=50_elite=0.3_mutant=0.3_gen=250_bias=0.9, 1265.27, 79, 6.193, 11, 4
pop=50_elite=0.3_mutant=0.4_gen=50_bias=0.7, 1358.21, 12, 1.592, 11, 4
pop=50_elite=0.3_mutant=0.4_gen=50_bias=0.8, 1327.14, 5, 1.599, 11, 4
pop=50_elite=0.3_mutant=0.4_gen=50_bias=0.9, 1232.13, 8, 2.3, 11, 4
pop=50_elite=0.3_mutant=0.4_gen=100_bias=0.7, 1330.97, 8, 1.678, 11, 4
pop=50_elite=0.3_mutant=0.4_gen=100_bias=0.8, 1323.45, 14, 2.465, 11, 4
pop=50_elite=0.3_mutant=0.4_gen=100_bias=0.9, 1189.35, 86, 5.594, 11, 4
pop=50_elite=0.3_mutant=0.4_gen=150_bias=0.7, 1384.8, 4, 1.421, 11, 4
pop=50_elite=0.3_mutant=0.4_gen=150_bias=0.8, 1392.45, 25, 2.263, 11, 4
pop=50_elite=0.3_mutant=0.4_gen=150_bias=0.9, 1334.43, 45, 3.508, 11, 4
pop=50_elite=0.3_mutant=0.4_gen=200_bias=0.7, 1331.07, 13, 1.612, 11, 4
pop=50_elite=0.3_mutant=0.4_gen=200_bias=0.8, 1281.11, 5, 1.482, 11, 4
pop=50_elite=0.3_mutant=0.4_gen=200_bias=0.9, 1327.49, 24, 2.265, 11, 4
pop=50_elite=0.3_mutant=0.4_gen=250_bias=0.7, 1381.21, 4, 1.464, 11, 4
pop=50_elite=0.3_mutant=0.4_gen=250_bias=0.8, 1313.83, 11, 2.508, 11, 4
pop=50_elite=0.3_mutant=0.4_gen=250_bias=0.9, 1221.28, 82, 6.552, 11, 4
pop=50_elite=0.3_mutant=0.5_gen=50_bias=0.7, 1301.33, 12, 2.174, 11, 4
pop=50_elite=0.3_mutant=0.5_gen=50_bias=0.8, 1319.31, 42, 3.985, 11, 4
pop=50_elite=0.3_mutant=0.5_gen=50_bias=0.9, 1234.82, 6, 1.661, 11, 4
pop=50_elite=0.3_mutant=0.5_gen=100_bias=0.7, 1361.45, 18, 2.069, 11, 4
pop=50_elite=0.3_mutant=0.5_gen=100_bias=0.8, 1319.76, 11, 1.662, 11, 4
pop=50_elite=0.3_mutant=0.5_gen=100_bias=0.9, 1293.62, 11, 2.39, 11, 4
pop=50_elite=0.3_mutant=0.5_gen=150_bias=0.7, 1424.29, 10, 1.58, 11, 4
pop=50_elite=0.3_mutant=0.5_gen=150_bias=0.8, 1343.5, 8, 1.851, 11, 4
pop=50_elite=0.3_mutant=0.5_gen=150_bias=0.9, 1221.69, 6, 2.141, 11, 4
pop=50_elite=0.3_mutant=0.5_gen=200_bias=0.7, 1365.91, 6, 1.79, 11, 4
pop=50_elite=0.3_mutant=0.5_gen=200_bias=0.8, 1316.94, 0, 1.372, 11, 4
pop=50_elite=0.3_mutant=0.5_gen=200_bias=0.9, 1327.13, 11, 2.126, 11, 4
pop=50_elite=0.3_mutant=0.5_gen=250_bias=0.7, 1238.36, 16, 2.074, 11, 4
pop=50_elite=0.3_mutant=0.5_gen=250_bias=0.8, 1285.1, 0, 1.568, 11, 4
pop=50_elite=0.3_mutant=0.5_gen=250_bias=0.9, 1211.22, 18, 4.389, 11, 4
pop=50_elite=0.4_mutant=0.1_gen=50_bias=0.7, 1274.37, 1, 1.556, 11, 4
